country_name,country_code,year,att
Afghanistan,AFG,2014,5.288462
Afghanistan,AFG,2015,6.25
Afghanistan,AFG,2016,3.365385
Afghanistan,AFG,2017,3.8461540000000003
Afghanistan,AFG,2018,4.326923000000001
Afghanistan,AFG,2014,8.173077000000001
Afghanistan,AFG,2015,8.173077000000001
Afghanistan,AFG,2016,9.615385
Afghanistan,AFG,2017,9.134615
Afghanistan,AFG,2018,7.6923070000000004
Afghanistan,AFG,2014,11.05769
Afghanistan,AFG,2015,14.423079999999999
Afghanistan,AFG,2016,7.211538000000001
Afghanistan,AFG,2017,6.7307690000000004
Afghanistan,AFG,2018,10.57692
Afghanistan,AFG,2014,4.326923000000001
Afghanistan,AFG,2015,3.365385
Afghanistan,AFG,2016,5.7692309999999996
Afghanistan,AFG,2017,4.807693
Afghanistan,AFG,2018,4.326923000000001
Afghanistan,AFG,2014,16.25616
Afghanistan,AFG,2015,18.71921
Afghanistan,AFG,2016,20.68966
Afghanistan,AFG,2017,22.16749
Afghanistan,AFG,2018,20.68966
Albania,ALB,2014,34.61538
Albania,ALB,2015,38.46154
Albania,ALB,2016,40.86538
Albania,ALB,2017,42.30769
Albania,ALB,2018,35.09615
Albania,ALB,2014,50.0
Albania,ALB,2015,53.84615
Albania,ALB,2016,52.88462
Albania,ALB,2017,55.76923000000001
Albania,ALB,2018,57.69231
Albania,ALB,2014,60.09615
Albania,ALB,2015,59.13462
Albania,ALB,2016,60.576919999999994
Albania,ALB,2017,62.01923000000001
Albania,ALB,2018,63.46154
Albania,ALB,2014,43.26923
Albania,ALB,2015,44.23077
Albania,ALB,2016,41.82692
Albania,ALB,2017,38.94231
Albania,ALB,2018,39.42308
Albania,ALB,2014,50.2463
Albania,ALB,2015,52.70936
Albania,ALB,2016,52.21675
Albania,ALB,2017,54.18719
Albania,ALB,2018,53.201969999999996
