location_id,location_name,iso3,year,the_total_mean,ghes_total_mean,ppp_total_mean,oop_total_mean,dah_per_cap,the_per_cap_mean,ghes_per_cap_mean,ppp_per_cap_mean,oop_per_cap_mean,the_per_gdp_mean,ghes_per_gdp_mean,ppp_per_gdp_mean,oop_per_gdp_mean
160,Afghanistan,AFG,1995,1656826,40878,18859,1579290,1,103,3,1,98,0.120,0.003,0.001,0.114
160,Afghanistan,AFG,1996,1650986,41163,17904,1566611,2,98,2,1,93,0.118,0.003,0.001,0.112
160,Afghanistan,AFG,1997,1658211,41561,16559,1550540,3,96,2,1,89,0.117,0.003,0.001,0.110
160,Afghanistan,AFG,1998,1603968,42277,15224,1524959,1,90,2,1,86,0.113,0.003,0.001,0.107
160,Afghanistan,AFG,1999,1620047,43331,14303,1518470,2,88,2,1,83,0.113,0.003,0.001,0.106
160,Afghanistan,AFG,2000,1627402,44286,14044,1536625,2,86,2,1,81,0.115,0.003,0.001,0.108
160,Afghanistan,AFG,2001,1682159,44686,13941,1571316,3,86,2,1,80,0.125,0.003,0.001,0.117
160,Afghanistan,AFG,2002,1744697,60100,11153,1521709,7,85,3,1,74,0.091,0.003,0.001,0.080
160,Afghanistan,AFG,2003,1906676,80123,11182,1612296,9,88,4,1,75,0.091,0.004,0.001,0.078
160,Afghanistan,AFG,2004,2338163,91964,11856,1742303,22,104,4,1,77,0.110,0.004,0.001,0.083
160,Afghanistan,AFG,2005,2591302,108293,11691,1849596,26,110,5,0,79,0.108,0.005,0.000,0.078
160,Afghanistan,AFG,2006,2780360,123533,13091,2023046,26,114,5,1,83,0.110,0.005,0.001,0.081
160,Afghanistan,AFG,2007,3060516,147080,13954,2167967,29,122,6,1,87,0.106,0.005,0.000,0.076
160,Afghanistan,AFG,2008,3182811,161995,16222,2344185,26,124,6,1,91,0.106,0.005,0.001,0.079
160,Afghanistan,AFG,2009,3585960,193786,17167,2462595,35,136,7,1,93,0.098,0.005,0.000,0.069
160,Afghanistan,AFG,2010,3766255,213980,20837,2601426,34,139,8,1,96,0.095,0.005,0.001,0.067
160,Afghanistan,AFG,2011,4056906,226980,22977,2678632,40,145,8,1,95,0.096,0.005,0.001,0.064
160,Afghanistan,AFG,2012,4132027,252718,25446,2843539,35,142,9,1,98,0.085,0.005,0.001,0.059
160,Afghanistan,AFG,2013,4566470,271163,29935,3200531,35,151,9,1,106,0.090,0.005,0.001,0.064
160,Afghanistan,AFG,2014,4912945,288204,33933,3667070,30,157,9,1,117,0.094,0.006,0.001,0.071
160,Afghanistan,AFG,2015,5423335,304307,37661,4157187,29,168,9,1,129,0.102,0.006,0.001,0.079
